N , t ,v, alpha, bu 
0,0,0,0,0
0.00E+00,1480950,1.39E+11,2.77E-07,1
0.00E+00,2961900,1.27E+12,2.82E-06,2
0.00E+00,4442850,4.08E+12,1.10E-05,3
0.00E+00,5923800,8.91E+12,2.88E-05,4
0.00E+00,7404750,1.60E+13,6.08E-05,5
0.00E+00,8885700,2.56E+13,0.000112011,6
0.00E+00,10366650,3.79E+13,0.000187723,7
0.00E+00,11847600,5.29E+13,0.000293608,8
0.00E+00,13328550,7.10E+13,0.00043561,9
0.00E+00,14809500,9.22E+13,0.000619934,10
0.00E+00,16290450,1.17E+14,0.000853021,11
0.00E+00,17771400,1.44E+14,0.001141534,12
0.00E+00,19252350,1.75E+14,0.001492333,13
0.00E+00,20733300,2.10E+14,0.001912463,14
0.00E+00,22214250,2.48E+14,0.002409139,15
0.00E+00,23695200,2.90E+14,0.002989728,16
0.00E+00,25176150,3.36E+14,0.003661738,17
0.00E+00,26657100,3.86E+14,0.004432802,18
0.00E+00,28138050,4.39E+14,0.005310661,19
0.00E+00,29619000,4.96E+14,0.006303154,20
0.00E+00,31099950,5.58E+14,0.0074182,21
0.00E+00,32580900,6.23E+14,0.008663784,22
0.00E+00,34061850,6.92E+14,0.010047938,23
0.00E+00,35542800,7.65E+14,0.01157873,24
0.00E+00,37023750,8.43E+14,0.013264243,25
0.00E+00,38504700,9.24E+14,0.015112558,26
0.00E+00,39985650,1.01E+15,0.017131739,27
0.00E+00,41466600,1.10E+15,0.019329809,28
0.00E+00,42947550,1.19E+15,0.021714735,29
0.00E+00,44428500,1.29E+15,0.024294408,30
0.00E+00,45909450,1.39E+15,0.027076617,31
0.00E+00,47390400,1.50E+15,0.030069034,32
0.00E+00,48871350,1.61E+15,0.033279189,33
0.00E+00,50352300,1.72E+15,0.036714446,34
0.00E+00,51833250,1.83E+15,0.040381985,35
0.00E+00,53314200,1.95E+15,0.04428877,36
0.00E+00,54795150,2.08E+15,0.048441535,37
0.00E+00,56276100,2.20E+15,0.05284675,38
0.00E+00,57757050,2.33E+15,0.057510603,39
0.00E+00,59238000,2.46E+15,0.06243897,40
0.00E+00,60718950,2.60E+15,0.067637393,41
0.00E+00,62199900,2.74E+15,0.073111054,42
0.00E+00,63680850,2.88E+15,0.078864746,43
0.00E+00,65161800,3.02E+15,0.084902852,44
0.00E+00,66642750,3.16E+15,0.091229318,45
0.00E+00,68123700,3.31E+15,0.097847629,46
0.00E+00,69604650,3.46E+15,0.104760782,47
0.00E+00,71085600,3.61E+15,0.111971263,48
0.00E+00,72566550,3.75E+15,0.119481026,49
3.91E+16,74047500,3.91E+15,0.127291468,50
4.06E+16,75528450,4.06E+15,0.135403409,51
4.21E+16,77009400,4.21E+15,0.143817069,52
4.36E+16,78490350,4.36E+15,0.152532053,53
4.51E+16,79971300,4.51E+15,0.161547329,54
4.66E+16,81452250,4.66E+15,0.170861213,55
4.81E+16,82933200,4.81E+15,0.180471356,56
4.95E+16,84414150,4.95E+15,0.19037473,57
5.10E+16,85895100,5.10E+15,0.200567617,58
5.24E+16,87376050,5.24E+15,0.211045598,59
5.38E+16,88857000,5.38E+15,0.221803551,60
5.52E+16,90337950,5.52E+15,0.232835644,61
5.65E+16,91818900,5.65E+15,0.244135333,62
5.78E+16,93299850,5.78E+15,0.255695364,63
5.91E+16,94780800,5.91E+15,0.267507775,64
6.03E+16,96261750,6.03E+15,0.279563905,65
6.15E+16,97742700,6.15E+15,0.291854401,66
6.26E+16,99223650,6.26E+15,0.304369228,67
6.36E+16,100704600,6.36E+15,0.317097689,68
6.47E+16,102185550,6.47E+15,0.330028439,69
6.56E+16,103666500,6.56E+15,0.34314951,70
6.65E+16,105147450,6.65E+15,0.35644833,71
6.73E+16,106628400,6.73E+15,0.369911753,72
6.81E+16,108109350,6.81E+15,0.38352609,73
6.88E+16,109590300,6.88E+15,0.397277139,74
6.94E+16,111071250,6.94E+15,0.411150224,75
6.99E+16,112552200,6.99E+15,0.425130233,76
7.04E+16,114033150,7.04E+15,0.439201654,77
7.07E+16,115514100,7.07E+15,0.453348627,78
7.10E+16,116995050,7.10E+15,0.467554985,79
7.12E+16,118476000,7.12E+15,0.4818043,80
7.14E+16,119956950,7.14E+15,0.496079941,81
7.14E+16,121437900,7.14E+15,0.510365116,82
7.14E+16,122918850,7.14E+15,0.524642932,83
7.13E+16,124399800,7.13E+15,0.538896448,84
7.11E+16,125880750,7.11E+15,0.553108729,85
7.08E+16,127361700,7.08E+15,0.567262904,86
7.04E+16,128842650,7.04E+15,0.581342219,87
6.99E+16,130323600,6.99E+15,0.5953301,88
6.94E+16,131804550,6.94E+15,0.609210203,89
6.88E+16,133285500,6.88E+15,0.622966474,90
6.81E+16,134766450,6.81E+15,0.6365832,91
6.73E+16,136247400,6.73E+15,0.650045069,92
6.65E+16,137728350,6.65E+15,0.663337215,93
6.55E+16,139209300,6.55E+15,0.676445274,94
6.46E+16,140690250,6.46E+15,0.689355431,95
6.35E+16,142171200,6.35E+15,0.702054464,96
6.24E+16,143652150,6.24E+15,0.714529789,97
6.12E+16,145133100,6.12E+15,0.726769501,98
6.00E+16,146614050,6.00E+15,0.738762409,99
5.87E+16,148095000,5.87E+15,0.750498072,100
5.73E+16,149575950,5.73E+15,0.761966827,101
5.60E+16,151056900,5.60E+15,0.773159816,102
5.45E+16,152537850,5.45E+15,0.784069007,103
5.31E+16,154018800,5.31E+15,0.794687216,104
5.16E+16,155499750,5.16E+15,0.805008115,105
5.01E+16,156980700,5.01E+15,0.815026245,106
4.86E+16,158461650,4.86E+15,0.824737022,107
4.70E+16,159942600,4.70E+15,0.834136736,108
4.54E+16,161423550,4.54E+15,0.843222546,109
4.38E+16,162904500,4.38E+15,0.851992478,110
4.23E+16,164385450,4.23E+15,0.860445406,111
4.07E+16,165866400,4.07E+15,0.868581041,112
3.91E+16,167347350,3.91E+15,0.876399912,113
3.75E+16,168828300,3.75E+15,0.883903337,114
3.60E+16,170309250,3.60E+15,0.891093401,115
3.44E+16,171790200,3.44E+15,0.897972925,116
3.29E+16,173271150,3.29E+15,0.904545432,117
3.13E+16,174752100,3.13E+15,0.91081511,118
2.99E+16,176233050,2.99E+15,0.916786776,119
2.84E+16,177714000,2.84E+15,0.922465834,120
2.70E+16,179194950,2.70E+15,0.927858234,121
2.56E+16,180675900,2.56E+15,0.932970425,122
2.42E+16,182156850,2.42E+15,0.937809315,123
2.29E+16,183637800,2.29E+15,0.94238222,124
2.16E+16,185118750,2.16E+15,0.946696821,125
2.03E+16,186599700,2.03E+15,0.950761118,126
1.91E+16,188080650,1.91E+15,0.954583381,127
1.79E+16,189561600,1.79E+15,0.958172105,128
1.68E+16,191042550,1.68E+15,0.961535966,129
1.57E+16,192523500,1.57E+15,0.964683775,130
1.47E+16,194004450,1.47E+15,0.967624438,131
1.37E+16,195485400,1.37E+15,0.97036691,132
1.28E+16,196966350,1.28E+15,0.972920162,133
1.19E+16,198447300,1.19E+15,0.975293135,134
1.10E+16,199928250,1.10E+15,0.977494712,135
1.02E+16,201409200,1.02E+15,0.97953368,136
9.43E+15,202890150,9.43E+14,0.981418701,137
8.70E+15,204371100,8.70E+14,0.983158283,138
8.01E+15,205852050,8.01E+14,0.984760755,139
7.37E+15,207333000,7.37E+14,0.98623424,140
6.76E+15,208813950,6.76E+14,0.98758664,141
6.19E+15,210294900,6.19E+14,0.988825613,142
5.66E+15,211775850,5.66E+14,0.989958558,143
5.17E+15,213256800,5.17E+14,0.990992606,144
4.71E+15,214737750,4.71E+14,0.991934604,145
4.28E+15,216218700,4.28E+14,0.99279111,146
3.89E+15,217699650,3.89E+14,0.993568386,147
3.52E+15,219180600,3.52E+14,0.994272395,148
3.18E+15,220661550,3.18E+14,0.994908798,149
2.87E+15,222142500,2.87E+14,0.995482954,150
